2020-05-21 16:11:09,306 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-21 16:15:50,862 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-21 16:15:51,244 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-21 16:15:51,619 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-21 16:15:52,128 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-21 16:17:10,092 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-21 16:17:10,483 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-21 16:17:10,853 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-21 16:17:11,221 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-21 16:18:22,890 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-21 16:18:23,273 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-21 16:18:23,797 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-21 16:18:24,174 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-21 16:19:24,124 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-21 16:19:24,498 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-21 16:19:24,878 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-21 16:19:25,254 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-22 16:53:11,671 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-22 16:53:12,084 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-22 16:53:12,462 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-22 16:53:12,869 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-22 17:27:57,850 - [test_demo1.py-->line:73] - INFO: 用例注册成功,测试通过
2020-05-22 17:27:58,244 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带类型,测试通过
2020-05-22 17:27:58,628 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-22 17:27:59,011 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-22 17:32:40,748 - [test_demo1.py-->line:73] - INFO: 用例注册成功,测试通过
2020-05-22 17:32:41,136 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带类型,测试通过
2020-05-22 17:32:41,511 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-22 17:32:41,912 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-26 11:01:52,256 - [test_demo1.py-->line:73] - INFO: 用例注册成功,测试通过
2020-05-26 11:01:52,695 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带类型,测试通过
2020-05-26 11:01:53,093 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-26 11:01:53,633 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-26 11:22:04,467 - [test_demo1.py-->line:73] - INFO: 用例注册成功,测试通过
2020-05-26 11:22:04,590 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带类型,测试通过
2020-05-26 11:22:04,712 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-26 11:22:04,856 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-26 11:28:04,540 - [test_demo1.py-->line:73] - INFO: 用例注册成功,测试通过
2020-05-26 11:28:04,655 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带类型,测试通过
2020-05-26 11:28:04,762 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-26 11:28:04,871 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带类型和注册名,测试通过
